EmployeeNo,Last Name,First Name,Birthday,Address,Phone Number,SSS #,Philhealth #,TIN #,Pag-ibig #,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate,Password
10019,Rosario,Cydney ,06/10/1996,93A/21 Berge Points Tapaz 2180 Quezon,868-819-912,49-1629900-2,579000000000,122-244-511-000,265000000000,Regular,Account Rank and File,Christian Mata,22500,1500,500,500,11250,134,
10020,Bautista,Mark ,12/02/1991,65 Murphy Center Suite 094 Poblacion Palayan 5636 Quirino,683-725-348,49-1647342-5,400000000000,273-970-941-000,260000000000,Regular,Account Rank and File,Christian Mata,23250,1500,500,500,11625,138,
10022,Delos Santos,Kolby ,02/26/1980,06A Gulgowski Extensions Bongabon 6085 Zamboanga del Sur,739-443-033,52-0109570-6,357000000000,187-500-345-000,113000000000,Probationary,Account Rank and File,Christian Mata,24000,1500,500,500,12000,143,
10023,Santos,Vella ,12/31/1983,99A Padberg Spring Poblacion Mabalacat 3959 Lanao del Sur,955-879-269,52-9883524-3,549000000000,101-558-994-000,360000000000,Probationary,Account Rank and File,Christian Mata,22500,1500,500,500,11250,134,
10024,Del Rosario,Tomas,12/18/1978,80A/48 Ledner Ridges Poblacion Kabankalan 8870 Marinduque,882-550-989,45-5866331-6,954000000000,560-735-732-000,913000000000,Probationary,Account Rank and File,Christian Mata,22500,1500,500,500,11250,134,
10025,Tolentino,Jacklyn ,05/19/1984,96/48 Watsica Flats Suite 734 Poblacion Malolos 1844 Ifugao,675-757-366,47-1692793-0,754000000000,841-177-857-000,211000000000,Probationary,Account Rank and File,Selena De Leon,24000,1500,500,500,12000,143,
10026,Gutierrez,Percival ,12/18/1970,58A Wilderman Walks Poblacion Digos 5822 Davao del Sur,512-899-876,40-9504657-8,798000000000,502-995-671-000,211000000000,Probationary,Account Rank and File,Selena De Leon,24750,1500,500,500,12375,147,
10027,Manalaysay,Garfield ,08/28/1986,60 Goyette Valley Suite 219 Poblacion Tabuk 3159 Lanao del Sur,948-628-136,45-3298166-4,811000000000,336-676-445-000,211000000000,Probationary,Account Rank and File,Selena De Leon,24750,1500,500,500,12375,147,
10028,Villegas,Lizeth ,12/12/1981,66/77 Mann Views Luisiana 1263 Dinagat Islands,332-372-215,40-2400719-4,934000000000,210-395-397-000,122000000000,Probationary,Account Rank and File,Selena De Leon,24000,1500,500,500,12000,143,
10029,Ramos,Carol ,08/20/1978,72/70 Stamm Spurs Bustos 4550 Iloilo,250-700-389,60-1152206-4,352000000000,395-032-717-000,212000000000,Probationary,Account Rank and File,Selena De Leon,22500,1500,500,500,11250,134,
10030,Maceda,Emelia ,04/14/1973,50A/83 Bahringer Oval Suite 145 Kiamba 7688 Nueva Ecija,973-358-041,54-1331005-0,465000000000,215-973-013-000,515000000000,Probationary,Account Rank and File,Selena De Leon,22500,1500,500,500,11250,134,
10031,Aguilar,Delia ,01/27/1989,95 Cremin Junction Surallah 2809 Cotabato,529-705-439,52-1859253-1,136000000000,599-312-588-000,110000000000,Probationary,Account Rank and File,Selena De Leon,22500,1500,500,500,11250,134,
10032,Castro,John Rafael,09/02/1992,Hi-way Yati Liloan Cebu,332-424-955 ,26-7145133-4,602000000000,404-768-309-000,698000000000,Regular,Sales & Marketing,Isabella Reyes,52670,1500,1000,1000,26335,314,
10033,Martinez,Carlos Ian,11/16/1990,Bulala Camalaniugan,078-854-208,11-5062972-7,381000000000,256-436-296-000,993000000000,Regular,Supply Chain and Logistics,Isabella Reyes,52670,1500,1000,1000,26335,314,
10034,Santos,Beatriz,07/08/1990,Agapita Building Metro Manila,526-639-511,20-2987501-5,918000000000,911-529-713-000,874000000000,Regular,Customer Service and Relations,Isabella Reyes,52670,1500,1000,1000,26335,314,


